Laboratory_number;Radiocarbon age (years BP);Error;delta_C13;delta_N15;C:N;%C;%collagen;Calculation details;Laboratory treatment;Calibration used;Dated material;Context;Site;Country;Source;Group;Subgroup;Notes
MAMS-52833;3771;23;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 1;Mork?vky;Czech Republic;"�ebela 1999; Pe�ka 2023, 121 fig. 2 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
Erl-10901;4216;49;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 1800, FS IV;Hettstedt-Ortsumgehung;Germany;Selent and Koch 2012 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
MAMS-19530;4096;18;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 575;P�mmelte-Zackm�nde;Germany;Spatzier 2019 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
Erl-7807;4032;56;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 77/ grave 5;Brehna;Germany;Rauchhaupt and Schunke 2010 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
R-combine;4031;27;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, tooth);grave 26:I;Viby;Sweden;"Allentoft et al. 2015; Fornander 2013; Ahlstr�m 2009 in Bourgeois et al. 2025, S1";CW;opp. PW;
OxA-39287;3955;20;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 105;Kastanjeg�rden;Sweden;"Allentoft et al. 2024; Brink 2009; Lid�n et al. 2004 in Bourgeois et al. 2025, S1";CW;opp. PW;
UBA-39934;3987;34;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, tooth);grave A1671;D�semarken;Sweden;"Allentoft et al. 2024; Ifverson 2007 in Bourgeois et al. 2025, S1";CW;opp. PW;
Ua-33978;3755;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Seed (Cerealea, seed);From grave 2 (A120605);Norra Hylliev�ng, Malm�;Sweden;Brink 2009 in Bourgeois et al. 2025, S1;CW;opp. PW;Outlier (43%, t) in first run, increased outlier odds
Lu-474;3930;80;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 58A (Malmer 1975, 134);Kv. Bronsyxan (Bronsyxgatan, Malm�);Sweden;"Brink 2009; H�kansson et al. 1973 in Bourgeois et al. 2025, S1";CW;opp. PW;
Ua-37494;3990;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, tooth);grave 68(I) (Malmer 1962);�rasl�v;Sweden;Fornander 2013 in Bourgeois et al. 2025, S1;CW;opp. PW;
Ua-37497;4075;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 77 (Malmer 1962);Skepparsl�v;Sweden;Fornander 2013 in Bourgeois et al. 2025, S1;CW;opp. PW;
Ua-19469;4080;65;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 53;Lilla Beddinge 56;Sweden;"Fornander 2013; Ahlstr�m 2009, 172; Furholt 2003 in Bourgeois et al. 2025, S1";CW;opp. PW;
Ua-19468;3890;55;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 52;Lilla Beddinge 56;Sweden;"Fornander 2013; Ahlstr�m 2009, 172 in Bourgeois et al. 2025, S1";CW;opp. PW;
Ua-37496;4135;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 1 (A14169);Norra Hylliev�ng, Malm�;Sweden;"Fornander 2013; Lindh� and Grehn 2008; see also Brink 2009 in Bourgeois et al. 2025, S1";CW;opp. PW;
Ua-36982;3975;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave A279;Sv�gertorp, Malm�;Sweden;"Fornander 2013; see also Koch and Tuominen 2006 in Bourgeois et al. 2025, S1";CW;opp. PW;
Beta-423305;4020;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, tooth);grave 185;Bergsgraven;Sweden;Malmstr�m et al. 2019 in Bourgeois et al. 2025, S1;CW;opp. PW;
Ua-5361;3730;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave A87;Kv Skolan;Sweden;S�derberg 1993 in Bourgeois et al. 2025, S1;CW;opp. PW;Outlier (41%, t) in first run, increased outlier odds
GrA-39456;4485;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Alnus sp., anatomy indet.);From infill pit (complex 7.10) with Hz 4 ceramics;Hanzelijn-Oud;The Netherlands;"Knippenberg and Hamburg 2011a pp. 161; 167; Drenth and Meurkens 2011b";FBW;EFG;
GrN-16492;4700;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Pinus sp., anatomy indet.);From flat grave F32 with Hz4 ceramics, Lanting and Van der Plicht contest the reliability of this date;Heek-Ammerter Mark;Germany;Lanting and Van der Plicht 2000 p. 65;FBW;EFG;
GrN-16494;4680;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Quercus sp., anatomy indet.);"From flat grave F1052 with Hz4 ceramics; Lanting and Van der Plicht contest the reliability of this date";Heek-Ammerter Mark;Germany;Lanting and Van der Plicht 2000 p. 65;FBW;EFG;
GrN-11763;4980;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Quercus sp., anatomy indet.);From grave F25 with ceramics dated to Hz 5;Heek-Averbeck;Germany;Lanting and Van der Plicht 2000 p. 65;FBW;EFG;
GrN-11764;4400;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Quercus sp., anatomy indet.);From flat grave F27 with ceramics from Hz 5;Heek-Averbeck;Germany;Lanting and Van der Plicht 2000 p. 65;FBW;EFG;
GrN-11766;4480;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Quercus sp., anatomy indet.);From grave F38 with ceramics dating to Hz 5;Heek-Averbeck;Germany;Lanting and Van der Plicht 2000 p. 65;FBW;EFG;
GrN-9209;4520;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Quercus sp., anatomy indet.);From concentration in flat grave F5 with ceramics dated to Hz 5;Heek-Averbeck;Germany;Lanting and Van der Plicht 2000 p. 65;FBW;EFG;
GrN-5103;4355;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);Spread throughout pit infill, together with Hz 4 ceramics;Emmen-Angelslo;The Netherlands;Lanting and Van der Plicht 2000 p. 65;FBW;EFG;
GrN-12262;4920;70;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Pinus sp., anatomy indet.);From burial pit in flat grave F.440 together with Hz 5 ceramics;Gittrup;Germany;Lanting and Van der Plicht 2000 p. 66;FBW;EFG;
GrN-12263;4490;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Quercus sp. and Betula sp., anatomy indet.);Bulk sample, material from flat grave F.707 together with Hz 5 ceramics;Gittrup;Germany;Lanting and Van der Plicht 2000 p. 66;FBW;EFG;
GrN-11765;4890;80;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Quercus sp., anatomy indet.);From grave F34 with Hz5 ceramics;Heek-Averbeck;Germany;Lanting and Van der Plicht 2000 p. 66;FBW;EFG;
GrN-18785;4460;80;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Quercus sp., anatomy indet.);From charred coffin (fing no. 1) in grave which contained Hz 5 ceramics;Dalen-Huidbergsveld;The Netherlands;Lanting and Van der Plicht 2000 p. 66;FBW;EFG;
GrN-2221;4550;80;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From pit (/potential flat grave) below the entrance of megalith D32. Contains ceramics dating to Hz 1-3, associated with, possibly predating megalith. ;D32;The Netherlands;Lanting and Van der Plicht 2000 pp. 63-5;FBW;EFG;Two dates with different contexts are reported under thisLabID
Poz-71757;4460;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (species and anatomy indet.);From Flat Grave 1;Visbek;Germany;Mennenga 2017 p. 312;FBW;EFG;
Beta-421914;4400;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Wood (Corylus sp., anatomy indet);On stone plaster associated with Hz 3-5 ceramics. One further date (see Beta-421913 in source) was performed on wood fragments from this context, this is the younger of the two.;Lavenstedt;Germany;Mennenga 2017 p. 312;FBW;EFG;
GrN-1824C;4410;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);Found in pit together with Hz 5 ceramics, flint and quern fragments. Find ID 122.;Anlo;The Netherlands;"Waterbolk 1960 p. 83; Lanting and Van der Plicht 2000 p. 66";FBW;EFG;
GrN-5767;4315;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From find ID 1961:90. Found as a spread in a pit no. 7 with ceramics from Hz 7 and flint;Angelslo;The Netherlands;"Bakker and Van der Waals 1973 in Brindley 1986 p. 105; cf. Lanting and Van der Plicht 2000 p. 66";FBW;LFG;
GrN-4201;4380;75;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From find 1961:71 and 72, described as a spread of charcoal in a pit with ceramics from Hz 7 (see also GrN4200 in source, which is older but from the same context);Angelslo;The Netherlands;"Bakker and Van der Waals 1973 p. 20; cf. Brindley 1986 p. 105; Lanting and Van der Plicht 2000 p. 67";FBW;LFG;
Poz-88040;4205;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From cremation burial (Grave 135) amidst Hz 7 graves. There is a second radiocarbon sample on cremated human remains from this burial (Poz-88040) which is older, but it is uncertain whether it belongs to the same or another individual. Hence the youngest date was retained.;Dalfsen;The Netherlands;"Bouma and Van der Velde 2022 p. 35; Tab. 3.1";FBW;LFG;
GrN-6156;4380;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (species and anatomy indet.);From infill pit with Hz 6 ceramics;Glimmer Es;The Netherlands;Brindley 1986 p. 105;FBW;LFG;
KlA-23204;4348;30;-25.01�0.10';Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Food crust (biomarkers not reported);Attached to vessel 24/6400, which is placed in Hz 7;Hunte 1;Germany;Grootes 2007 in Kossian 2007 pp. 541-3 in Drenth and Meurkens 2011a p. 281 ff. 16-7;FBW;LFG;
KlA-23207;4331;29;-24,71;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Food crust (biomarkers not reported);Attached to vessel -/6932 placed in Hz7;Hunte 1;Germany;Grootes 2007 in Kossian 2007 pp. 541-3 in Drenth and Meurkens 2011a p. 281 ff. 16-7;FBW;LFG;
GrA-41638;4260;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Food crust (biomarkers not reported);Food crust attached to a FBW vessel (Find ID 6204) from Hz 6, DTMS and SEM of the food crust shows traces of leaf vegetables, animal fat, and protein-rich or starchy material;Bedrijvenpark H2O;The Netherlands;"Knippenberg and Hamburg 2011b p. 120; Drenth and Bakker 2011; cf. Kubiak-Martens and Oudemans 2011";FBW;LFG;
GrA-41639;4230;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Food crust (biomarkers not reported);Food crust attached to a FBW vessel (Find ID 7734) from Hz 6, DTMS shows animal fat and a combination of proteins and/or starches;Bedrijvenpark H2O;The Netherlands;"Knippenberg and Hamburg 2011b p. 120; Drenth and Bakker 2011; cf. Kubiak-Martens and Oudemans 2011";FBW;LFG;
GrM-26730;4387;27;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Preparation following protocol in Dee et al. 2020 with additional combustion with pre-combusted Sulfix at 220�C to remove sulfur compounds. F14C = 0.5792�0.0019 (1-sigma).;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, long bone);From ca. 130g of cremated human bone, potentially from mutliple individuals, found in a pit (RMO context: e. 1909/9.150) with ceramics from Hz 5 and charcoal ;Uddelermeer;The Netherlands;Kroon 2024;FBW;LFG;
GrN-16040;4550;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);From a cremation burial with three individuals and Hz 3-4 ceramics;Sch�ppingen-Haidberg;Germany;Lanting and Van der Plicht 2000 p. 65;FBW;LFG;
GrA-13958;4220;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, anatomy indet.);Find no 1960:7 in flat grave 3 together with Hz7 ceramics;Emmen-Angelslo;The Netherlands;Lanting and Van der Plicht 2000 p. 66;FBW;LFG;
GrA-16021;4230;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Calcined bone (Homo sapiens, carbon fraction apatite, anatomy indet.);From cremation burial with Hz 7 ceramics (find no. 1965:464), see also: GrN-5070 performed on charred twigs or timber (Quercus sp.) in the burial which is younger;Emmen-Angelslo;The Netherlands;Lanting and Van der Plicht 2000 p. 66;FBW;LFG;
